room_id,asset_type,power_draw,usage_hours,operating_hours_since_service,error_log_count,failure
312,TV,0.308,6.6,1557,1,0
122,AC,0.497,14.2,3198,25,1
228,TV,0.104,17.1,2948,18,1
130,AC,0.389,4.4,4393,6,0
315,TV,0.586,13.9,2787,29,1
211,Set-top box,0.496,17.0,564,5,1
320,Set-top box,0.309,7.9,2463,14,0
425,Set-top box,0.374,3.1,1709,18,0
419,AC,0.974,19.1,1476,8,1
121,Set-top box,0.456,10.2,54,49,1
215,Set-top box,0.251,2.7,2288,39,1
423,Set-top box,0.361,6.1,2136,0,0
125,Set-top box,0.191,11.3,1889,34,1
123,TV,0.682,12.9,775,18,1
216,AC,0.894,20.8,4828,6,1
327,Set-top box,0.424,4.2,110,19,0
416,Set-top box,0.058,4.9,356,3,0
201,AC,0.566,3.6,1514,18,0
324,AC,0.828,2.8,4161,2,0
130,AC,0.701,6.2,484,12,1
323,AC,0.308,13.9,3126,8,1
305,TV,0.115,8.5,3504,7,0
104,AC,0.761,7.5,133,33,0
107,TV,0.191,2.1,473,25,0
113,Set-top box,0.144,13.5,2872,22,0
207,Set-top box,0.257,8.6,1889,9,0
109,Set-top box,0.054,2.8,598,16,0
112,Set-top box,0.13,7.8,1357,18,0
117,AC,0.338,10.1,3340,2,0
307,Set-top box,0.261,1.3,2142,6,0
314,AC,0.483,9.8,1600,34,0
426,TV,0.18,12.7,1235,0,0
407,Set-top box,0.327,8.6,274,21,0
205,Set-top box,0.28,8.0,1953,42,1
201,Set-top box,0.092,1.9,2676,12,0
122,TV,0.386,7.0,3713,18,1
112,TV,0.61,12.5,2264,10,1
330,TV,0.177,11.8,257,8,0
103,Set-top box,0.197,13.9,1602,17,0
203,AC,0.703,4.7,865,3,0
329,AC,0.689,21.4,2378,4,1
318,AC,0.814,7.1,2839,22,1
211,AC,0.447,3.0,88,3,0
309,Set-top box,0.132,5.7,2364,24,0
202,AC,0.665,13.3,2162,40,1
211,AC,0.213,2.6,169,21,0
402,AC,0.352,12.4,1477,0,0
129,Set-top box,0.419,2.7,2553,10,0
117,TV,0.452,6.9,719,26,0
225,TV,0.444,3.8,894,24,1
308,Set-top box,0.245,8.9,766,0,0
215,Set-top box,0.145,9.0,2534,6,0
411,AC,0.762,16.7,4439,26,1
104,Set-top box,0.249,5.7,2447,27,0
416,Set-top box,0.244,4.1,2004,18,0
430,TV,0.1,14.5,1459,23,1
123,AC,0.279,5.3,1815,16,0
205,AC,0.604,9.6,3283,23,1
324,AC,0.747,17.0,4732,32,1
313,AC,0.428,3.3,2179,10,0
426,Set-top box,0.111,1.6,1358,14,0
217,TV,0.686,11.3,366,26,1
328,AC,0.659,8.2,2730,18,1
310,TV,0.67,9.7,1715,20,0
418,AC,0.442,21.8,4977,1,1
323,Set-top box,0.061,10.6,794,22,0
116,AC,0.351,21.8,4082,34,1
304,TV,0.675,17.0,3356,29,1
211,AC,0.238,14.7,4333,6,1
204,Set-top box,0.151,4.5,3381,50,1
311,AC,0.947,20.6,3775,35,1
115,Set-top box,0.34,10.9,1110,4,1
426,AC,0.485,17.2,1546,31,1
425,Set-top box,0.415,5.9,3064,8,1
128,TV,0.474,8.7,1787,17,0
330,Set-top box,0.126,3.3,3466,7,1
130,TV,0.306,16.1,2522,5,0
407,TV,0.657,14.9,1582,5,1
416,TV,0.635,15.1,265,30,1
312,TV,0.265,4.7,230,9,1
206,Set-top box,0.46,3.7,1246,45,1
226,TV,0.271,16.5,1795,18,1
114,AC,0.423,20.7,3073,29,0
307,AC,0.634,21.5,1065,4,1
325,Set-top box,0.149,14.3,3348,38,1
123,TV,0.498,15.6,1382,27,1
115,TV,0.361,17.4,1019,9,1
425,TV,0.321,13.0,1296,20,1
427,Set-top box,0.257,13.7,2446,37,1
121,Set-top box,0.241,5.3,3186,14,0
316,TV,0.564,8.9,422,27,1
224,Set-top box,0.114,14.8,3059,46,1
220,AC,0.947,19.4,2177,2,1
123,TV,0.306,9.0,84,22,0
111,TV,0.683,17.0,2799,12,1
203,AC,0.814,4.2,2103,31,1
315,Set-top box,0.272,8.3,2353,1,0
327,TV,0.171,10.0,2843,21,1
212,TV,0.493,13.5,748,5,0
105,AC,0.718,5.1,2440,32,1
421,TV,0.42,1.7,3585,30,1
408,TV,0.157,2.4,2484,13,0
407,Set-top box,0.157,14.2,636,40,0
225,AC,0.321,18.3,4119,18,1
316,AC,0.666,20.5,2324,0,0
415,Set-top box,0.23,17.1,1172,30,1
319,Set-top box,0.132,11.7,1119,33,0
301,AC,0.845,18.0,4378,3,0
127,Set-top box,0.447,8.7,173,4,0
206,Set-top box,0.201,3.3,876,28,0
315,AC,0.368,4.2,162,26,1
307,AC,0.252,3.3,2869,3,0
214,AC,0.854,17.7,4392,31,1
230,TV,0.338,3.9,696,19,0
423,AC,0.714,15.0,523,21,0
424,AC,0.698,7.6,3812,26,1
120,Set-top box,0.477,10.4,2323,9,1
230,AC,0.279,19.6,468,20,0
416,AC,0.588,13.8,1194,16,0
122,Set-top box,0.104,2.3,2767,31,1
328,AC,0.936,14.2,2343,0,1
214,TV,0.116,11.3,367,8,0
122,Set-top box,0.156,5.1,1137,13,0
105,TV,0.667,17.8,1275,20,0
401,Set-top box,0.357,13.4,319,19,1
429,AC,0.738,21.8,871,31,1
407,TV,0.694,8.3,2382,1,1
306,AC,0.734,7.5,4665,9,1
228,TV,0.659,14.9,2380,14,1
429,TV,0.171,12.9,2773,11,0
409,AC,0.234,8.6,1161,19,1
327,Set-top box,0.133,2.3,2269,43,1
224,AC,0.687,18.2,4234,32,1
305,Set-top box,0.359,7.6,3114,15,0
429,TV,0.582,4.9,3695,25,1
330,TV,0.694,2.5,2846,28,1
228,TV,0.645,9.5,3248,15,1
103,TV,0.377,1.9,1602,10,0
317,TV,0.651,14.1,3043,3,1
211,TV,0.239,2.8,1374,5,1
225,TV,0.295,12.3,524,5,0
302,TV,0.682,7.9,929,14,1
402,Set-top box,0.458,11.5,1945,34,1
401,AC,0.361,8.8,2011,8,0
118,Set-top box,0.355,8.2,524,6,0
313,Set-top box,0.421,9.5,914,9,0
213,TV,0.196,1.4,1656,10,0
221,AC,0.749,16.6,219,9,0
204,TV,0.511,14.5,1358,14,1
101,AC,0.789,15.5,4517,5,1
107,AC,0.821,13.4,745,3,1
302,Set-top box,0.285,8.2,2001,29,1
117,Set-top box,0.317,5.8,2853,6,0
402,TV,0.265,15.1,75,15,0
210,TV,0.452,10.4,1969,23,0
418,Set-top box,0.185,10.0,3131,1,0
107,TV,0.644,6.9,3029,30,1
416,TV,0.544,5.5,2025,4,0
219,TV,0.62,2.9,3847,19,1
214,TV,0.529,10.6,2703,26,1
221,AC,0.481,12.9,4035,16,1
310,TV,0.228,3.9,2315,20,0
322,AC,0.293,19.9,4994,37,1
419,AC,0.852,17.8,2330,1,0
228,TV,0.354,13.9,3614,21,1
205,TV,0.156,5.3,1033,30,1
323,TV,0.377,1.0,230,17,1
216,AC,0.231,5.0,2325,8,0
407,Set-top box,0.358,6.5,2496,14,0
305,Set-top box,0.454,8.7,1525,14,1
318,Set-top box,0.352,11.2,1531,41,1
211,Set-top box,0.485,4.4,3250,30,1
328,TV,0.433,4.6,3562,13,1
107,AC,0.217,8.5,3819,23,1
214,AC,0.722,3.8,2153,2,1
129,AC,0.887,8.7,2237,6,1
205,AC,0.426,19.5,2210,33,1
307,Set-top box,0.225,4.3,3203,17,0
108,Set-top box,0.199,3.1,1557,27,0
303,AC,0.712,8.6,2108,22,1
301,AC,0.489,17.5,1809,11,0
109,AC,0.595,9.2,4738,23,1
303,Set-top box,0.409,7.2,3333,16,1
326,Set-top box,0.105,10.1,2107,32,1
312,TV,0.186,14.0,854,2,0
423,TV,0.291,8.6,2124,13,0
403,Set-top box,0.314,15.6,564,2,0
128,Set-top box,0.318,15.0,3480,31,1
311,TV,0.224,6.3,1709,8,0
214,TV,0.318,6.7,1169,4,0
226,Set-top box,0.197,9.5,530,15,0
110,AC,0.76,5.8,3662,20,1
415,TV,0.428,6.1,61,13,0
230,Set-top box,0.466,2.9,600,47,1
109,TV,0.475,11.4,432,16,0
204,Set-top box,0.444,17.1,2386,14,1
108,AC,0.741,6.8,3688,39,1
315,Set-top box,0.231,15.3,2514,36,1
404,TV,0.209,13.8,3039,27,1
328,AC,0.287,18.3,755,20,1
206,TV,0.562,10.5,3721,4,0
321,AC,0.373,5.5,1806,26,1
204,AC,0.58,6.9,2325,9,0
315,AC,0.365,4.9,1059,23,1
216,Set-top box,0.372,16.3,2064,10,0
114,TV,0.237,2.5,3351,3,1
409,TV,0.18,9.6,1032,15,0
328,Set-top box,0.155,17.2,460,29,1
103,Set-top box,0.424,5.3,385,30,1
207,AC,0.775,19.6,4313,34,1
204,AC,0.448,11.7,3622,27,1
423,AC,0.819,12.5,1104,13,0
423,AC,0.853,21.4,2541,31,1
325,TV,0.391,1.8,2483,20,0
310,TV,0.144,3.8,2617,24,1
426,AC,0.501,19.6,809,19,1
216,TV,0.239,13.3,1559,4,0
321,TV,0.548,3.2,3515,16,0
418,Set-top box,0.174,2.3,2261,0,0
418,Set-top box,0.317,2.9,2506,24,0
120,TV,0.164,14.4,1284,19,1
130,TV,0.182,13.2,2638,11,0
326,Set-top box,0.443,13.5,3342,39,1
207,TV,0.229,14.9,2052,0,1
302,TV,0.584,9.3,2298,14,0
322,TV,0.623,10.7,3853,27,1
105,AC,0.457,5.8,2006,36,1
314,Set-top box,0.265,9.0,1529,25,0
421,TV,0.352,3.4,2269,13,1
424,AC,0.688,19.4,3889,12,1
418,TV,0.373,7.8,2215,5,0
215,AC,0.358,12.6,1309,26,1
223,AC,0.242,17.3,1075,27,1
102,Set-top box,0.415,5.5,3275,44,1
330,TV,0.679,10.2,1180,2,0
127,TV,0.634,2.8,3188,21,1
302,TV,0.481,11.5,3503,29,1
129,Set-top box,0.484,14.8,117,2,1
427,TV,0.336,10.2,1262,18,0
403,TV,0.439,11.5,3993,14,1
220,TV,0.155,14.0,2963,2,0
309,Set-top box,0.291,13.3,1087,37,1
114,TV,0.157,4.6,369,4,0
414,AC,0.215,7.9,2447,27,0
324,TV,0.656,10.7,1853,16,1
106,TV,0.403,8.3,3298,22,1
322,TV,0.219,5.7,3604,23,1
322,AC,0.46,9.3,2053,36,0
118,TV,0.563,11.6,2482,1,0
211,Set-top box,0.297,14.5,887,15,0
319,TV,0.397,10.7,1462,12,1
223,TV,0.268,4.5,611,26,0
106,TV,0.574,5.0,1376,0,1
315,Set-top box,0.241,12.8,1163,37,1
327,Set-top box,0.231,3.3,1140,11,0
123,AC,0.825,20.8,4858,33,0
214,AC,0.558,8.3,370,8,0
322,Set-top box,0.482,8.0,3132,42,1
428,AC,0.785,2.7,716,12,1
213,TV,0.384,6.9,1653,12,1
120,AC,0.732,20.5,3224,26,0
217,AC,0.883,21.4,3499,15,1
116,Set-top box,0.224,7.3,1612,23,1
415,Set-top box,0.494,2.7,592,11,1
213,AC,0.293,9.4,2617,24,1
125,AC,0.849,3.8,3325,36,0
323,AC,0.893,2.6,530,7,1
208,TV,0.599,12.4,2803,3,1
402,TV,0.258,3.5,3999,6,0
112,Set-top box,0.111,6.5,2897,12,0
219,AC,0.206,9.5,1884,32,1
219,TV,0.371,3.7,1273,0,0
112,Set-top box,0.176,14.4,1545,7,0
223,Set-top box,0.489,1.3,1497,34,1
329,TV,0.326,15.4,693,10,0
403,TV,0.301,7.7,3828,9,1
430,TV,0.4,6.1,3245,30,1
115,Set-top box,0.109,15.0,1574,43,1
225,Set-top box,0.241,13.6,1287,17,0
404,TV,0.374,16.9,93,14,0
217,AC,0.492,3.6,681,0,0
405,TV,0.195,11.1,529,2,0
229,TV,0.662,16.7,1371,4,1
408,Set-top box,0.258,10.2,2754,42,1
325,Set-top box,0.488,9.6,1078,34,1
422,AC,0.894,15.0,432,8,1
210,AC,0.948,9.5,4560,5,1
211,AC,0.811,15.5,1307,28,1
427,AC,0.438,10.9,90,11,0
128,TV,0.273,15.8,564,4,1
127,TV,0.404,14.6,3756,16,1
230,Set-top box,0.375,17.0,2478,30,0
224,AC,0.556,21.2,3408,23,1
116,AC,0.849,7.6,3914,33,1
407,TV,0.481,12.2,1850,25,1
415,Set-top box,0.454,3.4,154,39,1
410,TV,0.165,15.1,261,1,0
124,TV,0.634,2.4,3330,20,1
110,Set-top box,0.323,8.1,2299,30,1
424,Set-top box,0.2,2.5,3356,34,1
117,Set-top box,0.186,9.9,2604,25,1
107,TV,0.461,13.9,2734,2,1
201,AC,0.492,14.4,3044,23,1
106,TV,0.386,14.2,2152,18,1
430,Set-top box,0.314,2.2,615,24,0
301,TV,0.161,10.1,3918,27,1
322,AC,0.443,13.1,1228,15,0
225,Set-top box,0.407,4.3,2530,19,0
410,Set-top box,0.125,14.7,330,30,0
225,TV,0.304,14.9,1313,14,1
218,TV,0.687,4.6,916,27,1
313,TV,0.531,8.4,552,29,1
104,AC,0.64,9.0,3767,17,1
306,AC,0.545,20.9,245,13,1
305,TV,0.134,7.5,3928,9,0
312,TV,0.226,17.8,719,27,1
318,AC,0.544,13.0,3623,36,1
126,AC,0.385,6.6,263,22,1
212,TV,0.579,14.8,1151,23,1
120,Set-top box,0.328,5.3,519,11,0
107,TV,0.306,13.1,2116,20,1
413,TV,0.595,7.6,205,25,0
403,AC,0.873,20.7,4733,19,1
214,AC,0.616,17.7,4425,28,1
115,TV,0.195,12.7,3434,22,1
121,TV,0.124,10.7,279,5,0
416,Set-top box,0.484,16.8,638,29,1
409,AC,0.395,10.5,4751,3,0
123,Set-top box,0.135,1.3,253,34,1
121,TV,0.587,13.2,2022,21,1
318,Set-top box,0.474,13.3,2179,38,1
211,TV,0.523,1.2,136,19,0
424,Set-top box,0.315,3.4,2316,38,0
330,TV,0.252,4.3,2844,26,1
320,AC,0.679,15.8,4206,18,1
301,TV,0.561,10.1,2727,21,1
103,TV,0.549,10.3,2520,28,1
308,AC,0.942,4.8,887,33,1
115,AC,0.618,17.7,2173,10,0
327,AC,0.356,8.2,4872,20,1
225,AC,0.946,17.9,2651,12,1
410,TV,0.493,3.9,433,3,0
422,AC,0.331,9.9,3819,24,1
311,AC,0.841,3.1,625,17,1
328,Set-top box,0.087,4.0,52,5,0
312,Set-top box,0.35,15.2,2465,33,1
223,AC,0.274,2.2,3433,34,1
117,AC,0.698,12.5,3487,7,0
106,AC,0.571,16.0,3394,7,1
104,AC,0.421,13.8,4347,38,1
115,TV,0.225,6.2,1135,27,1
308,AC,0.714,15.9,3971,2,1
328,AC,0.588,15.0,4282,11,1
115,TV,0.101,12.2,3527,23,1
125,AC,0.311,9.3,4819,15,1
120,AC,0.63,3.8,1862,13,0
112,Set-top box,0.14,18.0,786,43,1
308,AC,0.303,21.1,1065,3,0
426,Set-top box,0.305,1.3,1695,27,0
312,AC,0.402,10.0,3860,23,0
309,AC,0.633,8.4,2890,26,1
124,TV,0.521,5.4,1550,7,0
316,AC,0.729,6.5,1151,2,1
405,AC,0.679,9.1,4864,39,1
402,AC,0.882,15.8,1869,22,1
329,Set-top box,0.28,5.1,670,7,0
306,TV,0.292,13.1,3936,25,1
304,AC,0.819,21.8,1534,1,0
318,AC,0.535,3.8,348,18,1
102,Set-top box,0.176,11.9,1687,43,0
220,Set-top box,0.216,1.8,1616,46,0
417,Set-top box,0.06,12.4,1289,36,1
328,Set-top box,0.329,16.6,1340,17,0
314,TV,0.119,15.2,1348,7,0
318,TV,0.227,12.0,2567,23,1
320,AC,0.718,7.7,3751,40,1
329,AC,0.47,19.3,1549,22,0
107,Set-top box,0.202,11.2,3282,40,1
108,TV,0.689,5.3,116,11,0
312,AC,0.59,17.0,1815,27,1
120,AC,0.401,14.4,3679,14,0
225,Set-top box,0.065,13.7,3380,50,1
309,Set-top box,0.087,13.3,2981,40,0
107,Set-top box,0.312,3.4,1482,19,0
130,AC,0.846,17.5,1089,13,1
406,Set-top box,0.309,2.6,1375,28,1
120,TV,0.139,12.4,3218,6,0
327,TV,0.666,3.3,3659,22,1
305,Set-top box,0.216,1.4,3349,19,1
112,TV,0.657,6.1,2359,7,0
201,Set-top box,0.189,7.8,3494,14,1
401,Set-top box,0.43,12.1,2830,31,1
204,AC,0.773,18.4,222,38,1
430,AC,0.37,15.1,2818,38,1
106,TV,0.615,3.5,582,17,1
421,TV,0.255,5.6,2631,18,0
326,Set-top box,0.493,12.2,2097,1,1
316,TV,0.13,15.6,2276,28,1
209,AC,0.846,13.9,2788,16,1
113,AC,0.551,15.9,2662,4,0
113,TV,0.522,14.5,2414,3,0
223,AC,0.301,5.6,408,20,0
416,Set-top box,0.44,4.4,1730,7,1
102,AC,0.737,8.0,2640,4,1
122,TV,0.308,14.9,976,19,0
124,TV,0.624,4.4,2038,6,1
111,AC,0.248,19.9,3917,2,1
215,Set-top box,0.071,1.7,263,42,1
417,AC,0.479,20.0,2406,7,0
115,Set-top box,0.063,12.6,757,22,1
407,AC,0.665,18.2,925,24,1
229,Set-top box,0.264,8.5,1257,9,0
413,AC,0.574,17.2,1907,29,1
404,Set-top box,0.32,15.7,1130,3,0
320,Set-top box,0.182,11.9,2646,8,0
407,AC,0.902,13.5,1606,2,1
106,Set-top box,0.441,10.6,1691,4,1
212,AC,0.604,16.7,1326,30,1
122,Set-top box,0.493,16.6,1197,25,1
426,TV,0.408,1.9,2214,25,1
119,Set-top box,0.353,17.7,2712,11,1
204,TV,0.461,14.8,3071,10,1
103,TV,0.426,8.1,897,26,1
120,TV,0.293,16.6,3920,3,1
101,TV,0.102,13.3,2997,8,0
110,TV,0.122,6.1,2518,3,0
330,AC,0.253,21.5,2998,36,1
229,Set-top box,0.248,14.4,474,9,0
216,AC,0.201,8.9,3073,20,1
124,AC,0.817,7.0,4145,5,1
123,Set-top box,0.429,14.9,3442,0,1
216,Set-top box,0.2,7.1,397,2,0
114,AC,0.531,11.0,812,25,0
114,Set-top box,0.262,17.8,348,1,0
414,Set-top box,0.486,2.8,723,3,0
309,TV,0.589,1.4,177,9,1
326,AC,0.543,8.1,3059,18,0
421,Set-top box,0.192,1.9,2206,28,0
419,Set-top box,0.462,10.7,3438,49,1
110,TV,0.205,16.6,3475,12,1
318,Set-top box,0.17,14.3,1616,36,1
228,TV,0.607,17.5,507,25,1
325,Set-top box,0.201,5.9,494,25,0
326,TV,0.643,15.3,1464,5,1
118,TV,0.538,17.2,3703,10,1
409,AC,0.377,17.8,782,40,1
129,TV,0.133,17.9,2700,2,1
416,AC,0.457,20.6,946,37,1
123,TV,0.479,11.8,2360,13,0
207,Set-top box,0.388,9.5,126,7,0
401,AC,0.359,21.3,3626,23,1
114,Set-top box,0.088,2.3,882,9,0
227,AC,0.223,19.9,1304,11,0
219,TV,0.389,17.2,1477,22,1
228,TV,0.505,14.0,146,17,1
329,Set-top box,0.177,12.5,1919,21,0
305,AC,0.728,20.3,2759,11,0
110,Set-top box,0.103,16.6,1258,23,0
224,Set-top box,0.466,12.3,627,6,1
230,TV,0.366,11.9,2462,25,1
119,TV,0.556,4.8,1448,11,0
309,Set-top box,0.477,12.6,161,24,1
108,AC,0.328,11.0,4255,9,0
224,Set-top box,0.425,1.4,882,18,0
113,TV,0.337,13.5,3667,6,1
407,Set-top box,0.096,3.0,2107,20,0
311,TV,0.149,13.1,1862,4,0
222,TV,0.33,17.5,3828,2,1
220,TV,0.26,9.1,2224,14,0
103,Set-top box,0.402,12.1,3139,1,0
318,Set-top box,0.407,15.6,767,12,1
208,TV,0.28,7.7,553,26,1
305,TV,0.516,2.1,1835,19,1
313,TV,0.351,14.1,2636,11,0
107,AC,0.517,8.2,2831,14,0
126,AC,0.531,10.2,3679,40,0
302,Set-top box,0.351,4.5,3054,39,1
202,Set-top box,0.353,2.8,3469,22,0
312,TV,0.621,9.2,1493,10,1
203,Set-top box,0.438,10.8,922,42,0
314,AC,0.532,20.1,1721,10,0
413,Set-top box,0.194,14.0,505,8,0
124,Set-top box,0.15,15.5,138,49,1
125,AC,0.785,9.9,3700,38,1
328,TV,0.121,6.6,679,11,0
214,TV,0.638,3.9,3926,24,1
330,Set-top box,0.393,5.3,2737,2,1
120,AC,0.64,3.5,2653,33,1
421,TV,0.334,11.7,2218,6,0
126,AC,0.824,4.7,3890,23,1
106,Set-top box,0.352,8.0,2775,48,1
115,AC,0.771,15.1,1889,20,1
302,TV,0.665,18.0,848,4,0
412,TV,0.57,17.2,3555,4,1
230,Set-top box,0.368,5.2,2535,37,1
128,AC,0.689,12.2,1094,18,1
315,AC,0.733,20.9,2038,31,1
325,TV,0.571,13.6,2330,19,1
420,AC,0.982,15.8,2976,5,1
428,TV,0.222,3.3,2939,3,0
214,AC,0.87,12.8,1066,13,0
314,TV,0.341,3.8,2593,20,1
411,Set-top box,0.137,6.3,960,22,0
115,TV,0.162,10.0,1025,13,0
430,TV,0.37,18.0,3375,28,1
412,TV,0.146,16.8,3651,14,0
308,TV,0.254,4.3,3727,8,0
109,TV,0.259,4.6,2393,13,0
122,AC,0.727,17.0,3708,10,1
309,Set-top box,0.486,2.3,2024,31,1
213,TV,0.53,15.4,3877,25,1
411,TV,0.28,17.8,3945,2,0
230,Set-top box,0.096,11.9,1180,34,1
320,Set-top box,0.15,17.0,2287,36,0
202,Set-top box,0.307,2.7,2418,48,1
121,TV,0.312,15.8,2044,25,1
412,TV,0.196,2.0,900,11,1
104,TV,0.478,1.9,661,25,1
117,Set-top box,0.453,15.5,1930,16,1
118,TV,0.527,14.5,1586,28,1
320,TV,0.123,11.9,1353,21,1
115,Set-top box,0.134,5.8,658,2,0
306,TV,0.556,8.8,378,10,0
418,Set-top box,0.12,4.8,1541,15,1
412,Set-top box,0.086,3.5,1070,0,0
124,AC,0.323,12.7,929,8,0
302,Set-top box,0.08,13.8,624,9,0
330,TV,0.125,17.1,2434,23,0
204,Set-top box,0.498,5.8,2823,12,1
401,TV,0.566,11.0,536,8,1
316,Set-top box,0.384,11.8,382,5,0
424,AC,0.577,12.7,3820,23,1
108,TV,0.186,8.3,2568,11,0
202,TV,0.233,4.2,3724,17,1
115,TV,0.247,1.1,1729,0,0
229,AC,0.649,8.9,1750,33,1
102,AC,0.988,7.3,3777,18,1
407,AC,0.987,6.7,1273,28,1
402,AC,0.358,14.4,2925,9,0
424,TV,0.18,13.3,951,20,1
317,TV,0.151,7.4,1734,25,1
423,TV,0.34,1.1,1764,10,0
213,AC,0.315,12.4,4734,32,1
220,Set-top box,0.056,9.1,1418,1,0
327,Set-top box,0.299,1.1,2391,23,0
405,TV,0.24,5.2,2787,23,1
327,AC,0.238,11.7,3499,35,1
220,TV,0.171,10.4,1501,13,0
128,AC,0.949,16.4,2870,5,1
117,TV,0.549,12.7,1217,0,0
113,Set-top box,0.325,8.3,2573,8,0
204,TV,0.154,15.0,1014,9,0
229,AC,0.992,9.5,4453,8,1
307,TV,0.248,17.1,2869,7,0
408,Set-top box,0.467,13.8,2217,19,0
204,TV,0.595,12.9,2123,2,1
225,Set-top box,0.497,13.4,1576,48,1
401,AC,0.733,9.3,1982,14,1
208,Set-top box,0.326,6.2,2990,14,1
320,Set-top box,0.198,10.1,1433,46,0
125,TV,0.225,10.1,884,17,0
224,AC,0.68,9.0,684,32,1
222,Set-top box,0.477,11.2,2558,5,0
424,AC,0.543,16.7,3003,35,1
216,TV,0.431,14.9,953,10,0
227,TV,0.231,7.4,382,28,1
405,Set-top box,0.137,1.3,2876,4,1
404,AC,0.956,7.2,3003,35,1
418,AC,0.323,16.0,1721,14,0
312,TV,0.63,8.3,2377,8,0
315,TV,0.468,14.6,2220,29,1
328,Set-top box,0.409,11.7,1270,25,0
425,Set-top box,0.377,10.9,2946,11,1
203,TV,0.112,9.0,141,10,0
405,AC,0.743,15.7,2185,37,0
429,Set-top box,0.254,5.6,1868,2,0
212,TV,0.148,16.5,3638,13,1
210,TV,0.596,11.3,159,5,1
202,TV,0.682,3.9,1297,0,0
221,TV,0.507,7.6,1684,30,0
113,Set-top box,0.253,1.9,1520,0,0
125,TV,0.612,2.9,273,7,0
229,Set-top box,0.153,15.5,2438,19,1
325,Set-top box,0.447,12.8,1991,19,1
410,TV,0.457,14.3,1018,12,0
422,AC,0.693,6.6,1485,33,1
406,AC,0.919,13.0,65,22,1
105,Set-top box,0.112,2.7,2620,41,1
108,AC,0.72,17.8,1177,2,1
204,AC,0.788,20.7,4325,37,0
218,AC,0.284,9.5,4720,25,0
